kpoint,band,spin,mag_order,energy,weight_tot,weight_s,weight_p,weight_d,weight_f
2.232477855,1,up,nonmagnetic,-53.241184133920314,0.995459,0.00020099999999999998,0.9951709999999999,5.9999999999999995e-05,2.8000000000000003e-05
2.264023594,1,up,nonmagnetic,-53.22202786238996,0.995684,0.00023500000000000002,0.995351,7.3e-05,2.5e-05
2.295569333,1,up,nonmagnetic,-53.201351290722656,0.9959110000000001,0.000263,0.995547,8.2e-05,1.9e-05
2.3271150730000003,1,up,nonmagnetic,-53.17962517589657,0.99615,0.00028399999999999996,0.995762,9e-05,1.4999999999999999e-05
2.3586608119999997,1,up,nonmagnetic,-53.157158339931634,0.9964,0.000298,0.9959959999999999,9.499999999999999e-05,1.2e-05
2.390206551,1,up,nonmagnetic,-53.134272557467526,0.996655,0.000303,0.996245,9.7e-05,1.1e-05
2.42175229,1,up,nonmagnetic,-53.11129809309639,0.9969129999999999,0.000299,0.996506,9.7e-05,1.1e-05
2.45329803,1,up,nonmagnetic,-53.08856904821576,0.9971700000000001,0.00028700000000000004,0.996776,9.4e-05,1.3000000000000001e-05
2.4848437690000003,1,up,nonmagnetic,-53.066578710831415,0.997425,0.000267,0.997052,8.8e-05,1.8e-05
2.516389508,1,up,nonmagnetic,-53.045295189198946,0.997668,0.00023999999999999998,0.997324,8e-05,2.4e-05
2.547935247,1,up,nonmagnetic,-53.02523615272599,0.9978969999999999,0.00020800000000000001,0.9975879999999999,7e-05,3.1e-05
2.5794809869999997,1,up,nonmagnetic,-53.00788304369024,0.998132,0.000174,0.997869,5.1e-05,3.8e-05
2.611026726,1,up,nonmagnetic,-52.991532810286266,0.9983299999999999,0.00013700000000000002,0.998107,4e-05,4.6e-05
2.642572465,1,up,nonmagnetic,-52.977238097770844,0.9985040000000001,0.000101,0.9983200000000001,2.8999999999999997e-05,5.3e-05
2.674118204,1,up,nonmagnetic,-52.96522236604599,0.9986510000000001,6.8e-05,0.998503,2e-05,5.9999999999999995e-05
2.705663944,1,up,nonmagnetic,-52.955674217228214,0.998768,3.9e-05,0.9986510000000001,1.2e-05,6.6e-05
2.737209683,1,up,nonmagnetic,-52.94874415749357,0.9988530000000001,1.8e-05,0.9987590000000001,5e-06,7.099999999999999e-05
2.768755422,1,up,nonmagnetic,-52.9445417126708,0.9989049999999999,5e-06,0.998825,1e-06,7.4e-05
2.800301161,1,up,nonmagnetic,-52.94313553708683,0.998922,0.0,0.998848,0.0,7.5e-05
2.832705114,1,up,nonmagnetic,-52.94478294160786,0.9989030000000001,5e-06,0.9988229999999999,2e-06,7.3e-05
2.8651090669999997,1,up,nonmagnetic,-52.949695467548835,0.9988450000000001,1.9e-05,0.998749,7.000000000000001e-06,7e-05
2.89751302,1,up,nonmagnetic,-52.957753929038944,0.998751,4.1e-05,0.9986299999999999,1.6e-05,6.4e-05
2.929916973,1,up,nonmagnetic,-52.96876866271767,0.9986229999999999,7e-05,0.998469,2.6000000000000002e-05,5.7999999999999994e-05
2.9623209260000003,1,up,nonmagnetic,-52.982481949547996,0.9984629999999999,0.00010400000000000001,0.9982709999999999,3.6e-05,5.1e-05
2.9947248789999996,1,up,nonmagnetic,-52.99857506256547,0.9982770000000001,0.00014099999999999998,0.9980450000000001,4.6e-05,4.5e-05
3.027128832,1,up,nonmagnetic,-53.014884424467645,0.9980370000000001,0.000177,0.9977590000000001,5.9e-05,4.2e-05
3.059532785,1,up,nonmagnetic,-53.03474579743255,0.997814,0.00021099999999999998,0.997498,6.3e-05,4.2e-05
3.0919367380000002,1,up,nonmagnetic,-53.055744905658344,0.9975799999999999,0.000242,0.997231,6.4e-05,4.4e-05
3.1243406910000004,1,up,nonmagnetic,-53.08029360313352,0.997398,0.000263,0.997016,6.500000000000001e-05,5.4000000000000005e-05
3.1567446439999998,1,up,nonmagnetic,-53.10226815791397,0.997158,0.00028,0.996758,5.6999999999999996e-05,6.3e-05
