energy,mag_order,spin,dos
-16.92548210444,nonmagnetic,up,0.0
-16.871059332399998,nonmagnetic,up,0.0
-16.81663656036,nonmagnetic,up,0.0
-16.76221378832,nonmagnetic,up,0.0
-16.707791016279998,nonmagnetic,up,0.0
-16.65336824424,nonmagnetic,up,0.0
-16.5989454722,nonmagnetic,up,0.0
-16.544522700159998,nonmagnetic,up,0.0
-16.49009992812,nonmagnetic,up,0.0
-16.43567715608,nonmagnetic,up,0.0
-16.38125438404,nonmagnetic,up,0.0
-16.326831612,nonmagnetic,up,0.0
-16.272408839959997,nonmagnetic,up,0.0
-16.21798606792,nonmagnetic,up,0.0
-16.16356329588,nonmagnetic,up,0.0
-16.109140523839997,nonmagnetic,up,0.0
-16.0547177518,nonmagnetic,up,0.0
-16.00029497976,nonmagnetic,up,0.0
-15.945872207719999,nonmagnetic,up,0.0
-15.891449435679998,nonmagnetic,up,0.0
-15.837026663639998,nonmagnetic,up,0.0
-15.782603891599999,nonmagnetic,up,0.0
-15.728181119559999,nonmagnetic,up,0.0
-15.673758347519998,nonmagnetic,up,0.0
-15.619335575479997,nonmagnetic,up,0.0
-15.564912803439999,nonmagnetic,up,0.0
-15.510490031399998,nonmagnetic,up,0.0
-15.456067259359997,nonmagnetic,up,0.0
-15.401644487319999,nonmagnetic,up,0.0
-15.347221715279998,nonmagnetic,up,0.0
-15.292798943240001,nonmagnetic,up,0.0
-15.2383761712,nonmagnetic,up,0.0
-15.183953399160002,nonmagnetic,up,0.0
-15.129530627120001,nonmagnetic,up,0.0
-15.07510785508,nonmagnetic,up,0.0
-15.02068508304,nonmagnetic,up,0.0
-14.966262311000001,nonmagnetic,up,0.0
-14.91183953896,nonmagnetic,up,0.0
-14.85741676692,nonmagnetic,up,0.0
-14.802993994880001,nonmagnetic,up,0.0
-14.74857122284,nonmagnetic,up,0.0
-14.6941484508,nonmagnetic,up,0.0
-14.63972567876,nonmagnetic,up,0.0
-14.58530290672,nonmagnetic,up,0.0
-14.53088013468,nonmagnetic,up,0.0
-14.47645736264,nonmagnetic,up,0.0
-14.422034590600001,nonmagnetic,up,0.0
-14.36761181856,nonmagnetic,up,0.0
-14.31318904652,nonmagnetic,up,0.0
-14.25876627448,nonmagnetic,up,0.0
-14.20434350244,nonmagnetic,up,0.0
-14.1499207304,nonmagnetic,up,0.0
-14.09549795836,nonmagnetic,up,0.0
-14.04107518632,nonmagnetic,up,0.0
-13.98665241428,nonmagnetic,up,0.0
-13.93222964224,nonmagnetic,up,0.0
-13.8778068702,nonmagnetic,up,0.0
-13.82338409816,nonmagnetic,up,0.0
-13.76896132612,nonmagnetic,up,0.0
-13.714538554079999,nonmagnetic,up,0.0
-13.66011578204,nonmagnetic,up,0.0
-13.60569301,nonmagnetic,up,0.0
-13.551270237959999,nonmagnetic,up,0.0
-13.49684746592,nonmagnetic,up,0.0
-13.44242469388,nonmagnetic,up,0.0
-13.388001921839999,nonmagnetic,up,0.0
-13.333579149799998,nonmagnetic,up,0.0
-13.27915637776,nonmagnetic,up,0.0
-13.22473360572,nonmagnetic,up,0.0
-13.170310833679999,nonmagnetic,up,0.0
-13.11588806164,nonmagnetic,up,0.0
-13.0614652896,nonmagnetic,up,0.0
-13.007042517559999,nonmagnetic,up,0.0
-12.95261974552,nonmagnetic,up,0.0
-12.89819697348,nonmagnetic,up,0.0
-12.843774201439999,nonmagnetic,up,0.0
-12.789351429399998,nonmagnetic,up,0.0
-12.734928657360001,nonmagnetic,up,0.0
-12.68050588532,nonmagnetic,up,0.0
-12.62608311328,nonmagnetic,up,0.0
